Feature,SHAP_Importance
Size_in_SqFt,75.91515
Population_Density,50.831127
Availability_Status,25.103535
BHK,10.092272
Floor_No,8.230227
Nearby_Schools,5.674871
Nearby_Hospitals,5.4910145
Infra_Growth_Score,4.6152325
Age_of_Property,4.5610466
Mall_Distance_km,4.330199
State_Encoded,2.8544226
City_Encoded,2.8423865
Amenity_Count,2.029737
Floor_Ratio,0.15677
Balcony,0.032343373
Crime_Index,0.0180679
Total_Floors,0.015077803
Furnished_Status_Unfurnished,0.0030448234
Public_Transport_Accessibility,0.0023836526
Facing_East,0.002311362
Furnished_Status_Semi-furnished,0.0020580124
Furnished_Status_Furnished,0.001688908
Owner_Type_Builder,0.0013588202
Owner_Type_Owner,0.0012976653
Facing_South,0.0012954504
Property_Type_Apartment,0.0009121776
Facing_West,0.00084347505
Security,0.0006382367
Owner_Type_Broker,0.00036413083
Facing_North,0.00029711652
Property_Type_Villa,0.00023029084
Parking_Space,0.00018258634
Bathrooms,0.0
Property_Type_Independent House,0.0
